요구사항ID,요구사항명,기능ID,기능명,상세설명
REQ-004,활동 로그,FUNC-032,상세 정보 시트,"전체 포스팅 내용, 정확한 시간, 연관 코인, 실제 수익(성공 시), 에러 메시지(실패 시) 표시"
REQ-004,활동 로그,FUNC-033,트위터 링크,성공한 포스팅의 트위터 링크 제공
REQ-004,활동 로그,FUNC-034,재전송 버튼,실패한 포스팅에 대해 재전송 버튼 제공
REQ-004,활동 로그,FUNC-035,빈 상태 UI,로그가 없을 때 안내 메시지 및 일러스트 표시
REQ-005,시스템 모니터,FUNC-036,시스템 상태 카드,"API 응답 시간(ms), 시스템 가동률(%), 상태 인디케이터(정상/경고/오류) 표시"
REQ-005,시스템 모니터,FUNC-037,최근 활동 스트림,"실시간 포스팅 활동 스트림 표시 (액션 유형, 시간, 관련 정보)"
REQ-005,시스템 모니터,FUNC-038,실시간 트렌드,"Kaito AI가 감지한 인기 트렌드 목록 (해시태그, 인기도 점수, 관련 코인, 예상 수익 임팩트)"
REQ-005,시스템 모니터,FUNC-039,성과 지표,"오늘 포스팅 수, 성공률(%), 평균 수익, 트렌드 정확도 표시"
REQ-005,시스템 모니터,FUNC-040,연결 테스트 버튼,Kaito API 연결 테스트 실행 및 결과 토스트 표시
REQ-006,설정,FUNC-041,연결된 계정 정보,X 계정 아이콘과 사용자명 표시
REQ-006,설정,FUNC-042,API 키 관리 버튼,API 키 관리 시트 오픈 버튼
REQ-006,설정,FUNC-043,계정 연결 끊기,destructive 스타일의 연결 끊기 버튼
REQ-006,설정,FUNC-044,API 키 표시,현재 API 키를 마스킹하여 표시 (끝 8자리만 보임)
REQ-006,설정,FUNC-045,API 키 보기/숨기기,Eye/EyeOff 아이콘으로 전체 키 보기/숨기기 토글
REQ-006,설정,FUNC-046,API 키 복사,클립보드에 API 키 복사 기능 및 성공 피드백
REQ-006,설정,FUNC-047,API 키 변경,새 API 키 입력 필드 및 저장 기능
REQ-006,설정,FUNC-048,API 키 통계,"등록일, 마지막 사용, 총 요청 수, 상태(활성/비활성) 표시"
REQ-006,설정,FUNC-049,API 키 발급 안내,트위터 개발자 포털에서 발급받는 방법 안내
REQ-006,설정,FUNC-050,알림 설정,포스팅 관련 알림 ON/OFF 토글
REQ-006,설정,FUNC-051,포스팅 전 검토 설정,포스팅 전 검토 필수 여부 토글
REQ-006,설정,FUNC-052,언어 설정,한국어/English 선택
REQ-006,설정,FUNC-053,다크 모드,다크 모드 ON/OFF 토글
REQ-006,설정,FUNC-054,자동 재시도 설정,API 실패 시 자동 재시도 횟수 설정
REQ-006,설정,FUNC-055,API 타임아웃 설정,API 요청 타임아웃 시간 설정
REQ-006,설정,FUNC-056,디버그 모드,개발자용 디버그 모드 토글
REQ-006,설정,FUNC-057,버전 정보,현재 앱 버전 표시
REQ-006,설정,FUNC-058,이용약관 링크,이용약관 페이지 링크
REQ-006,설정,FUNC-059,개인정보 처리방침,개인정보 처리방침 페이지 링크
REQ-006,설정,FUNC-060,로그아웃,destructive 스타일의 로그아웃 버튼
REQ-007,공통 UI,FUNC-061,탭바 네비게이션,"홈, 스케줄러, 로그, 모니터, 설정 5개 탭 제공"
REQ-007,공통 UI,FUNC-062,탭 활성화 표시,활성 탭은 파랑색으로 강조
REQ-007,공통 UI,FUNC-063,탭 아이콘,"House, Calendar, FileText, Activity, Settings 루시드 아이콘 사용"
REQ-007,공통 UI,FUNC-064,탭바 스타일,iOS blur background 및 Safe area 대응
REQ-007,공통 UI,FUNC-065,시트 모달 애니메이션,하단에서 슬라이드업 스프링 애니메이션 (motion/react)
REQ-007,공통 UI,FUNC-066,시트 핸들바,상단 드래그 인디케이터 표시
REQ-007,공통 UI,FUNC-067,시트 백드롭 닫기,배경 클릭 시 시트 닫기
REQ-007,공통 UI,FUNC-068,시트 스크롤,최대 높이 85vh 내에서 스크롤 가능
REQ-007,공통 UI,FUNC-069,토스트 알림,상단 중앙에 토스트 메시지 표시 (Sonner 사용)
REQ-007,공통 UI,FUNC-070,토스트 타입,"성공(✅), 에러(❌), 정보(ℹ️) 타입별 아이콘"
REQ-007,공통 UI,FUNC-071,토스트 자동 숨김,2-3초 후 자동으로 사라짐
REQ-008,디자인 시스템,FUNC-072,타이포그래피,iOS 18 기준 11개 텍스트 스타일 정의 (Large Title ~ Caption 2)
REQ-008,디자인 시스템,FUNC-073,SF Pro 폰트,SF Pro Display(제목) / SF Pro Text(본문) 사용
REQ-008,디자인 시스템,FUNC-074,컬러 팔레트,"Primary Blue(#007AFF), Success Green(#34C759), Destructive Red(#FF3B30) 등 정의"
REQ-008,디자인 시스템,FUNC-075,코인별 색상,"$AI16Z(#FF6B35), $ELIZA(#A855F7), $VIRTUAL(#10B981), $ZEREBRO(#3B82F6)"
REQ-008,디자인 시스템,FUNC-076,그림자 시스템,"Card Shadow, Elevated Shadow, Modal Shadow 3단계 정의"
REQ-008,디자인 시스템,FUNC-077,모서리 시스템,"Small(8px), Medium(12px), Large(14px), XLarge(20px) 정의"
REQ-008,디자인 시스템,FUNC-078,터치 피드백,모든 인터랙티브 요소에 터치 시 시각적 피드백 제공
REQ-009,발표 모드,FUNC-079,스토리보드 화면,"Overview, Screens, Flows, Design 4개 탭 제공"
REQ-009,발표 모드,FUNC-080,플로우 목록,12개 사용자 여정 플로우 목록 표시
REQ-009,발표 모드,FUNC-081,플로우 시작 버튼,각 플로우 시작 버튼으로 발표 모드 진입
REQ-009,발표 모드,FUNC-082,하이라이트 시스템,빨간 outline(4px) + glow 효과로 현재 포커스 요소 강조
REQ-009,발표 모드,FUNC-083,자동 화면 전환,각 단계에서 해당 화면으로 자동 네비게이션
REQ-009,발표 모드,FUNC-084,발표 오버레이,하단 고정 네비게이션 컨트롤 오버레이
REQ-009,발표 모드,FUNC-085,현재 플로우 표시,오버레이에 현재 플로우 이름 표시
REQ-009,발표 모드,FUNC-086,단계 표시,현재 단계 / 전체 단계 (N/M) 표시
REQ-009,발표 모드,FUNC-087,이전 버튼,이전 단계로 이동 버튼
REQ-009,발표 모드,FUNC-088,다음 버튼,다음 단계로 이동 버튼
REQ-009,발표 모드,FUNC-089,종료 버튼,발표 모드 종료 버튼
REQ-009,발표 모드,FUNC-090,회원가입 플로우,"4단계: 온보딩 → 연결 버튼 → 완료 → 대시보드"
REQ-009,발표 모드,FUNC-091,자동화 제어 플로우,"4단계: OFF 상태 → 토글 ON → 활성화 → 포스팅 큐"
REQ-009,발표 모드,FUNC-092,스케줄 생성 플로우,"5단계: 스케줄러 → 추가 버튼 → 시트 → 입력 → 저장"
REQ-009,발표 모드,FUNC-093,즉시 포스팅 플로우,"4단계: 포스팅 목록 → 검토 → 지금 포스팅 → 로그 기록"
REQ-009,발표 모드,FUNC-094,포스팅 수정 플로우,"4단계: 선택 → 수정 버튼 → 변경 → 저장"
REQ-009,발표 모드,FUNC-095,포스팅 취소 플로우,"3단계: 목록 → 취소 버튼 → 제거 확인"
REQ-009,발표 모드,FUNC-096,스케줄 토글 플로우,"4단계: 목록 → OFF → ON → 상태 확인"
REQ-009,발표 모드,FUNC-097,로그 상세보기 플로우,"5단계: 로그 → 필터 → 선택 → 상세 시트 → 닫기"
REQ-009,발표 모드,FUNC-098,시스템 모니터링 플로우,"5단계: 모니터 → 상태 → 활동 → 트렌드 → 테스트"
REQ-009,발표 모드,FUNC-099,설정 변경 플로우,"5단계: 설정 → API 키 → 입력 → 테스트 → 저장"
REQ-009,발표 모드,FUNC-100,수익 분석 플로우,"4단계: 메트릭 → 통계 → 예상 수익 → 실제 수익"
REQ-009,발표 모드,FUNC-101,코인 선택 플로우,"4단계: 수정 시트 → 드롭다운 → 변경 → 재계산"
REQ-010,데이터 모델,FUNC-102,포스팅 데이터 구조,"id, content, coin, scheduledTime, expectedRevenue, image, status 필드 정의"
REQ-010,데이터 모델,FUNC-103,로그 데이터 구조,"id, type, time, fullTime, title, content, coin, revenue, error 필드 정의"
REQ-010,데이터 모델,FUNC-104,스케줄 데이터 구조,"id, name, time, frequency, coins, tone, active 필드 정의"
REQ-010,데이터 모델,FUNC-105,트렌드 데이터 구조,"tag, score, relatedCoins, impact 필드 정의"
REQ-010,데이터 모델,FUNC-106,모의 데이터 생성,각 화면에 필요한 현실적인 한글/영어 믹스 모의 데이터 생성
REQ-011,성능,FUNC-107,초기 로딩,초기 로딩 시간 2초 이내
REQ-011,성능,FUNC-108,애니메이션 성능,모든 화면 전환 애니메이션 60fps 유지
REQ-011,성능,FUNC-109,스크롤 성능,부드러운 스크롤링 구현
REQ-011,성능,FUNC-110,터치 반응,터치 피드백 100ms 이내 반응
REQ-012,접근성,FUNC-111,터치 타겟 크기,모든 버튼 최소 44px 터치 타겟 보장
REQ-012,접근성,FUNC-112,색상 대비,WCAG 기준 충족하는 고대비 색상 조합
REQ-012,접근성,FUNC-113,의미있는 레이블,모든 아이콘에 의미있는 텍스트 레이블 제공
REQ-013,반응성,FUNC-114,iPhone 16 Pro 최적화,393px × 852px 해상도에 최적화
REQ-013,반응성,FUNC-115,Safe Area 대응,상단 노치 및 하단 홈 인디케이터 영역 대응
REQ-014,일관성,FUNC-116,iOS 18 가이드라인,iOS 18 Human Interface Guidelines 준수
REQ-014,일관성,FUNC-117,애니메이션 타이밍,모든 애니메이션에 일관된 타이밍 함수 적용
REQ-014,일관성,FUNC-118,스타일 통일,그림자/모서리/간격 등 스타일 요소 통일
REQ-015,제약사항,FUNC-119,모의 데이터 전용,실제 API 연동 없이 모의 데이터만 사용
REQ-015,제약사항,FUNC-120,상태 비영구성,새로고침 시 모든 상태 초기화 (로컬 스토리지 미사용)
REQ-015,제약사항,FUNC-121,프론트엔드 전용,백엔드 서버 없이 클라이언트 사이드만 구현
REQ-015,제약사항,FUNC-122,실제 포스팅 금지,실제 트위터에 포스팅하지 않음
REQ-015,제약사항,FUNC-123,PII 수집 금지,개인식별정보 수집 및 저장 금지
REQ-015,제약사항,FUNC-124,이미지 출처,Unsplash API를 통한 저작권 문제 없는 이미지만 사용
REQ-015,제약사항,FUNC-125,대기업 스타일,AI 느낌 제거하고 대기업 자동화 대시보드 스타일로 구현
