요구사항ID,요구사항명,기능ID,기능명,상세설명
DASH03,홈 대시보드 추천 코인 섹션,DASH03_COIN01,코인 카드 리스트,"topCoins 배열 5개, 순위 배지 + 코인명 Headline + 포스팅 수 Caption + 수익 Title 2 + 24시간 변동률, 흰색 카드 모서리 12px 그림자, 2x2 그리드 + 1개 하단"
DASH03,홈 대시보드 추천 코인 섹션,DASH03_COIN02,코인별 색상 테마,"AI16Z 주황 #FF6B35, ELIZA 보라 #A855F7, VIRTUAL 초록 #10B981, PRIME 파랑 #3B82F6, RNDR 회색 #6B7280, 코인명 텍스트 및 배지 배경 적용"
DASH03,홈 대시보드 추천 코인 섹션,DASH03_TREND01,트렌드 표시 로직,"trendUp true 초록 텍스트 상승 화살표, false 빨강 텍스트 하락 화살표, 조건부 렌더링 페이드인 애니메이션"
DASH04,홈 대시보드 예약 포스팅 큐,DASH04_QUEUE01,포스팅 카드 리스트,"scheduledPosts 배열 useState 관리 초기 4개, 포스팅 내용 최대 3줄 말줄임 + 이미지 Unsplash 모서리 12px + 코인 배지 색상별 + 예상 수익 초록 + 예약 시간 회색 + ETA 태그, 세로 스크롤"
DASH04,홈 대시보드 예약 포스팅 큐,DASH04_ACTION01,포스팅 취소 버튼,"회색 배경 #F3F4F6 높이 36px 모서리 8px, 클릭 시 setRemovingId + 0.3초 페이드아웃 + 배열 제거 + toast 취소 완료, useState로 scheduledPosts 업데이트"
DASH04,홈 대시보드 예약 포스팅 큐,DASH04_ACTION02,포스팅 수정 버튼,"회색 배경 스타일 동일, 클릭 시 onOpenEditPost(post) 콜백 호출 + SHEET02 EditPostSheet 모달 오픈, post 데이터 전달 {id, content, coin, scheduledTime, image}"
DASH04,홈 대시보드 예약 포스팅 큐,DASH04_ACTION03,지금 포스팅 버튼,"파랑 배경 #007AFF 흰색 텍스트, 클릭 시 setPostingId + 로딩 스피너 2초 + toast 포스팅 완료 + completedCount+1 + 배열 제거, setTimeout(2000ms) 비동기 처리"
DASH04,홈 대시보드 예약 포스팅 큐,DASH04_STATUS01,포스팅 상태 표시,"scheduled 회색 배경, ready 초록 배경 준비완료, posting 로딩 스피너 포스팅 중, postingId 체크 조건부 렌더링, spin 효과 rotate 360deg 1초"
SCHED01,스케줄러 자동화 규칙 목록 및 제어,SCHED01_STATS01,자동화 현황 카드,"활성 규칙 수 filter active:true 카운트, 이번 주 포스팅 reduce posts 합산, 성공률 97% 하드코딩, 3컬럼 그리드 중앙 정렬 흰색 카드 구분선 divide-x"
SCHED01,스케줄러 자동화 규칙 목록 및 제어,SCHED01_LIST01,규칙 카드 리스트,"rules 배열 useState 초기 7개, 규칙명 Headline 17px 볼드 + 실행 시간 Caption 12px 회색 + 포스팅 수 Caption 파랑 + 마지막 실행 Caption 10px 회색 + ON/OFF 토글, ios-separator-inset 구분선, 세로 스크롤"
SCHED01,스케줄러 자동화 규칙 목록 및 제어,SCHED01_TOGGLE01,규칙 활성화 토글,"iOS 스위치 32px×20px, ON 초록 배경 #34C759, OFF 회색 배경 #E5E7EB, 클릭 시 handleToggleRule(id) + setRules active 반전 + toast 상태 변경, prevRules.map() 패턴"
SCHED01,스케줄러 자동화 규칙 목록 및 제어,SCHED01_BUTTON01,새 규칙 추가 버튼,"파랑 배경 흰색 텍스트 높이 50px 모서리 14px, 하단 고정 fixed bottom-20 Safe Area, 클릭 시 onOpenNewSchedule() + SHEET01 모달 오픈, scale(0.98) 터치 피드백, highlightElement 지원"
SHEET01,새 스케줄 작성 모달 시트,SHEET01_LAYOUT01,시트 모달 컨테이너,"반투명 검정 배경 bg-opacity-30, fixed inset-0 z-50, 하단 슬라이드업 애니메이션 y:100%→0 스프링 damping 30 stiffness 300, 백드롭 클릭 onClose(), 최대 높이 70vh 스크롤"
SHEET01,새 스케줄 작성 모달 시트,SHEET01_HANDLE01,드래그 핸들바,"40px×4px 회색 #C6C6C8 rounded-full, 상단 중앙 pt-3, 시각적 표시만 (드래그 미지원)"
SHEET01,새 스케줄 작성 모달 시트,SHEET01_HEADER01,헤더 네비게이션 바,"flex justify-between, 왼쪽 취소 버튼 파랑 onClose(), 중앙 타이틀 새 야핑 예약 Headline 17px, 오른쪽 완료 버튼 파랑 handleSubmit(), border-b #C6C6C8"
SHEET01,새 스케줄 작성 모달 시트,SHEET01_FORM01,AI 자동 생성 토글,"그라데이션 배경 파랑→보라, 번개 아이콘 흰색 원형, 텍스트 AI 자동 생성 + 서브 실시간 트렌드 분석 회색, 토글 우측, aiGenerate useState 기본 true, 클릭 시 상태 반전"
SHEET01,새 스케줄 작성 모달 시트,SHEET01_FORM02,포스팅 시간 선택,"레이블 포스팅 시간 + 시계 아이콘, select dropdown 09:00~22:00 1시간 단위 15개 옵션, iOS 스타일 appearance-none, selectedTime useState 기본 09:00, 필수 입력 빨강 별표"
SHEET01,새 스케줄 작성 모달 시트,SHEET01_FORM03,자동 이미지 첨부 토글,"레이블 자동 이미지 첨부 + 이미지 아이콘, 설명 Unsplash에서 자동 선택 회색 작은 텍스트, 토글 우측, autoImage useState 기본 true"
SHEET01,새 스케줄 작성 모달 시트,SHEET01_SUBMIT01,완료 버튼 액션,"실행 순서: onSuccess() toast 야핑 예약 완료 → onClose() 시트 닫기 → 폼 초기화 setContent(\"\") setSelectedTime(09:00), 검증 미구현, 에러 처리 없음"
SHEET01,새 스케줄 작성 모달 시트,SHEET01_HIGHLIGHT01,하이라이트 시스템,"highlightElement prop 기반, schedule-sheet 전체 시트 강조, schedule-form 폼 영역 강조, outline-4 outline-red-500 + glow 효과, relative z-10"
LOG01,활동 로그 필터링 및 목록 표시,LOG01_FILTER01,시간 필터 탭,"탭 오늘/이번 주/전체, iOS 세그먼트 컨트롤 비활성 회색 #F3F4F6 활성 흰색 그림자, activeTab useState 기본 today, 클릭 시 setActiveTab() + 로그 필터링, 3개 균등 분할 flex-1"
LOG01,활동 로그 필터링 및 목록 표시,LOG01_LIST01,로그 카드 리스트,"activityLogs 배열 mockData, 상태 아이콘 ✅성공/⚠️실패 + 시간 HH:MM Caption 12px + 제목 Headline 17px + 내용 미리보기 최대 2줄 Body 15px + 코인 배지 색상별 우측 상단 + 수익 성공 시만 초록, 시간 역순 최신순, 세로 스크롤 pb-24"
LOG01,활동 로그 필터링 및 목록 표시,LOG01_EMPTY01,빈 상태 UI,"조건 filteredLogs.length===0, 회색 문서 아이콘 48px + 메시지 아직 활동 로그가 없습니다 Headline + 서브텍스트 Caption 회색, 화면 중앙 flex items-center justify-center"
LOG01,활동 로그 필터링 및 목록 표시,LOG01_ACTION01,로그 상세보기,"로그 카드 클릭 트리거, onOpenDetail(log) 콜백 호출, 데이터 전달 {id, type, time, fullTime, title, content, coin, revenue, error}, SHEET02 LogDetailSheet 모달 오픈, active:bg-gray-50 터치 피드백"
SHEET02,로그 상세보기 모달 시트,SHEET02_LAYOUT01,상세 시트 컨테이너,"SHEET01_LAYOUT01 동일, 하단 슬라이드업/다운 애니메이션, 최대 높이 85vh (SHEET01보다 높음), 백드롭 닫기 지원"
SHEET02,로그 상세보기 모달 시트,SHEET02_HEADER01,상세 정보 헤더,"상태 아이콘 좌측 성공/실패 배지, 제목 log.title Title 2 22px, 시간 log.fullTime Caption 12px 회색, 닫기 버튼 우측 상단 X 아이콘"
SHEET02,로그 상세보기 모달 시트,SHEET02_CONTENT01,포스팅 내용 표시,"레이블 포스팅 내용, 텍스트 log.content 전체 내용 줄바꿈 유지, 회색 배경 박스 #F9FAFB 패딩 모서리 8px, Body 15px line-height 1.5"
SHEET02,로그 상세보기 모달 시트,SHEET02_META01,메타 정보 표시,"연관 코인 log.coin 색상별 배지, 실제 수익 log.revenue 성공 시만 초록, 에러 메시지 log.error 실패 시만 빨강, 2컬럼 그리드 라벨-값"
SHEET02,로그 상세보기 모달 시트,SHEET02_LINK01,트위터 링크 버튼,"조건 log.type===success, 버튼 트위터에서 보기 + 외부 링크 아이콘, 파랑 배경 흰색 텍스트 전체 너비, 클릭 시 toast 링크를 클립보드에 복사 (실제 링크 없음)"
SHEET02,로그 상세보기 모달 시트,SHEET02_ACTION01,재전송 버튼,"조건 log.type===error, 버튼 재전송 초록 배경 흰색 텍스트, 클릭 시 로딩 상태 1초 + toast 재전송 시뮬레이션 완료 + 시트 닫기, setTimeout(1000ms) 비동기"
MONITOR01,시스템 모니터링 대시보드,MONITOR01_STATUS01,시스템 상태 카드,"API 응답 시간 145ms Caption + 시스템 가동률 99.8% Title 2 초록 + 상태 인디케이터 초록 원 정상, 2x2 그리드 흰색 카드 그림자, 숫자 카운트업 애니메이션 선택적"
MONITOR01,시스템 모니터링 대시보드,MONITOR01_ACTIVITY01,최근 활동 스트림,"recentActivity 배열, 액션 아이콘 원형 배경 + 액션 설명 포스팅 생성됨/트렌드 감지/스케줄 실행 + 시간 X분 전 + 관련 정보 코인명/트렌드 태그, 세로 스크롤 최대 5개, 실시간 업데이트 모의"
MONITOR01,시스템 모니터링 대시보드,MONITOR01_TREND01,실시간 트렌드 목록,"trendingTopics 배열, 해시태그 #트렌드명 Headline 17px + 인기도 점수 0-100 진행바 + 관련 코인 배지 배열 최대 3개 + 예상 수익 임팩트 높음/중간/낮음 색상별, 인기도 점수 내림차순 정렬, 흰색 카드 구분선"
MONITOR01,시스템 모니터링 대시보드,MONITOR01_METRICS01,성과 지표 요약,"오늘 포스팅 수 12 파랑 + 성공률 94% 초록 + 평균 수익 $18.40 파랑 + 트렌드 정확도 87% 초록, 2x2 그리드, 페이드인 애니메이션"
MONITOR01,시스템 모니터링 대시보드,MONITOR01_ACTION01,연결 테스트 버튼,"버튼 Kaito API 연결 테스트 파랑 배경 높이 44px, 클릭 시 toast.loading 연결 테스트 중 1초 → setTimeout → toast.success 연결 테스트 성공 + 설명, 총 2초 소요, 하단 고정"
SET01,설정 화면 계정 및 연결 관리,SET01_ACCOUNT01,연결된 계정 표시,"섹션 제목 연결된 계정, X 계정 정보 X 로고 24px + 사용자명 @crypto_siyeon + 상태 활성 초록 원, 흰색 카드 우측 화살표 더보기"
SET01,설정 화면 계정 및 연결 관리,SET01_API01,API 키 관리 버튼,"버튼 API 키 관리 + 열쇠 아이콘, 흰색 카드 우측 화살표, 클릭 시 onApiKeySheetChange(true) + SHEET03 오픈, active:bg-gray-50 터치 피드백"
SET01,설정 화면 계정 및 연결 관리,SET01_DISCONNECT01,계정 연결 끊기,"버튼 X 계정 연결 끊기 Destructive 빨강 텍스트 #FF3B30, 클릭 시 확인 다이얼로그 toast 표시, 확인 후 ONBOARD 화면 전환, 경고 연결을 끊으면 자동화가 중지됩니다"
SET02,설정 화면 일반 및 고급 설정,SET02_GENERAL01,알림 설정 토글,"레이블 알림 + 설명 포스팅 관련 알림 받기, iOS 스위치 토글, notificationsEnabled useState 기본 true"
SET02,설정 화면 일반 및 고급 설정,SET02_GENERAL02,포스팅 전 검토 토글,"레이블 포스팅 전 검토 + 설명 포스팅 전 수동 승인 필요, iOS 스위치 토글, reviewBeforePost useState 기본 true"
SET02,설정 화면 일반 및 고급 설정,SET02_GENERAL03,언어 설정,"레이블 언어, 현재 값 한국어, 옵션 한국어/English, 우측 화살표 클릭 시 액션 시트 미구현"
SET02,설정 화면 일반 및 고급 설정,SET02_GENERAL04,다크 모드 토글,"레이블 다크 모드, iOS 스위치 토글, darkMode useState 기본 false, 시각적 효과만 (실제 다크 모드 미구현)"
SET02,설정 화면 일반 및 고급 설정,SET02_ADVANCED01,자동 재시도 설정,"레이블 자동 재시도 + 설명 API 실패 시 재시도 횟수, 현재 값 3회, 입력 숫자 선택 1-5회"
SET02,설정 화면 일반 및 고급 설정,SET02_ADVANCED02,API 타임아웃 설정,"레이블 API 타임아웃 + 설명 요청 타임아웃 시간, 현재 값 30초, 입력 숫자 선택 10-60초"
SET02,설정 화면 일반 및 고급 설정,SET02_ADVANCED03,디버그 모드 토글,"레이블 디버그 모드 + 설명 개발자용 상세 로그, iOS 스위치 토글, debugMode useState 기본 false"
SET03,설정 화면 앱 정보 및 로그아웃,SET03_INFO01,버전 정보 표시,"레이블 버전, 값 1.0.0 하드코딩, 회색 텍스트 우측 정렬"
SET03,설정 화면 앱 정보 및 로그아웃,SET03_INFO02,이용약관 링크,"텍스트 이용약관 + 외부 링크 아이콘, 클릭 시 toast 외부 링크 시뮬레이션 (실제 링크 없음)"
SET03,설정 화면 앱 정보 및 로그아웃,SET03_INFO03,개인정보 처리방침,"텍스트 개인정보 처리방침 + 외부 링크 아이콘, 클릭 시 toast 표시"
SET03,설정 화면 앱 정보 및 로그아웃,SET03_LOGOUT01,로그아웃 버튼,"버튼 로그아웃 Destructive 빨강 텍스트, 클릭 시 toast 확인 다이얼로그 로그아웃 하시겠습니까 + 액션 확인/취소, 확인 시 setCurrentScreen(onboarding) + toast 로그아웃되었습니다, duration 5초"
SHEET03,API 키 관리 모달 시트,SHEET03_DISPLAY01,API 키 마스킹 표시,"레이블 X API Key, 값 sk-•••••••••••••2h4j 끝 4자리만 표시, 고정폭 폰트 monospace, 회색 박스 #F9FAFB"
SHEET03,API 키 관리 모달 시트,SHEET03_TOGGLE01,키 보기/숨기기 버튼,"아이콘 Eye/EyeOff 입력 필드 우측, 클릭 시 showKey true 전체 키 표시 sk-abc123...xyz789 / false 마스킹 표시, showKey useState 기본 false"
SHEET03,API 키 관리 모달 시트,SHEET03_COPY01,클립보드 복사 버튼,"Copy 아이콘 + 버튼 복사 회색 배경 작은 버튼, 클릭 시 navigator.clipboard.writeText(apiKey) + toast API 키가 클립보드에 복사"
SHEET03,API 키 관리 모달 시트,SHEET03_EDIT01,API 키 변경 입력,"레이블 새 API 키, textarea 2줄 placeholder 새로운 API 키를 입력하세요, 검증 길이 체크 최소 20자, newApiKey useState"
SHEET03,API 키 관리 모달 시트,SHEET03_STATS01,API 키 통계 표시,"등록일 2025.11.01 + 마지막 사용 2시간 전 + 총 요청 수 2847 + 상태 활성 초록 배지, 2컬럼 그리드 라벨-값, 회색 배경 섹션"
SHEET03,API 키 관리 모달 시트,SHEET03_GUIDE01,API 키 발급 안내,"제목 API 키 발급 방법, 내용 1.X 개발자 포털 접속 2.앱 생성 및 권한 설정 3.API 키 복사, 링크 자세히 보기 파랑 텍스트, 정보 박스 파랑 배경"
SHEET03,API 키 관리 모달 시트,SHEET03_SAVE01,저장 버튼,"버튼 저장 조건 newApiKey.length>20, 클릭 시 API 키 업데이트 로컬 상태만 + toast 설정 저장 완료 + 시트 닫기, 조건 미충족 시 회색 비활성화"
SHEET04,포스팅 수정 모달 시트,SHEET04_EDIT01,포스팅 내용 수정,"레이블 포스팅 내용, textarea 8줄 현재 값 post.content, 실시간 글자 수 현재 글자 수/280, 제한 최대 280자 maxLength, editedContent useState"
SHEET04,포스팅 수정 모달 시트,SHEET04_COIN01,코인 선택 드롭다운,"레이블 타겟 코인 현재 값 post.coin, 옵션 AI16Z ELIZA VIRTUAL PRIME RNDR ZEREBRO, iOS select 스타일, 변경 시 예상 수익 재계산, selectedCoin useState"
SHEET04,포스팅 수정 모달 시트,SHEET04_IMAGE01,이미지 미리보기,"현재 이미지 post.image Unsplash URL, 크기 전체 너비×200px 모서리 12px, 버튼 이미지 변경 회색 하단, 클릭 시 toast 이미지 변경 시뮬레이션 (실제 업로드 없음)"
SHEET04,포스팅 수정 모달 시트,SHEET04_TIME01,예약 시간 변경,"레이블 예약 시간 현재 값 post.scheduledTime, datetime-local HTML5 입력 최소 값 현재 시간, scheduledTime useState"
SHEET04,포스팅 수정 모달 시트,SHEET04_SAVE01,수정 저장 액션,"버튼 저장, 클릭 시 수정된 데이터 객체 생성 {id, content:editedContent, coin:selectedCoin, scheduledTime, image} + onSave(updatedPost) 콜백 + toast 수정 완료 + 시트 닫기, 검증 content 필수 빈 문자열 불가"
NAV01,공통 탭바 네비게이션,NAV01_LAYOUT01,탭바 컨테이너,"fixed bottom-0 전체 너비, 흰색 + backdrop-blur-lg iOS 반투명 효과, 상단 그림자 0 -1px 3px rgba, 높이 68px Safe Area, z-index 40"
NAV01,공통 탭바 네비게이션,NAV01_TAB01,홈 탭,"House 아이콘 lucide-react + 텍스트 홈, 활성 파랑 #007AFF 비활성 회색 #8E8E93, 클릭 시 onTabChange(home)"
NAV01,공통 탭바 네비게이션,NAV01_TAB02,스케줄러 탭,"Calendar 아이콘 + 텍스트 스케줄, NAV01_TAB01 동일, 클릭 시 onTabChange(scheduler)"
NAV01,공통 탭바 네비게이션,NAV01_TAB03,로그 탭,"FileText 아이콘 + 텍스트 로그, NAV01_TAB01 동일, 클릭 시 onTabChange(logs)"
NAV01,공통 탭바 네비게이션,NAV01_TAB04,모니터 탭,"Activity 아이콘 + 텍스트 모니터, NAV01_TAB01 동일, 클릭 시 onTabChange(monitor)"
NAV01,공통 탭바 네비게이션,NAV01_TAB05,설정 탭,"Settings 아이콘 + 텍스트 설정, NAV01_TAB01 동일, 클릭 시 onTabChange(settings)"
NAV01,공통 탭바 네비게이션,NAV01_ACTIVE01,활성 탭 표시 로직,"조건 activeTab===tabName, 스타일 아이콘 파랑 + 텍스트 파랑 + 폰트 semibold, 애니메이션 0.2초 ease 전환, 터치 피드백 scale(0.95)"
PRESENT01,발표 모드 스토리보드 화면,PRESENT01_TAB01,스토리보드 탭 네비게이션,"탭 Overview/Screens/Flows/Design, 상단 고정 탭바 활성 파랑 하단 바 2px, 클릭 시 해당 탭 컨텐츠 전환, storyboardView useState 기본 overview"
PRESENT01,발표 모드 스토리보드 화면,PRESENT01_OVERVIEW01,프로젝트 개요 섹션,"제목 Kaito 야핑 자동화 시스템, 설명 프로젝트 목적 주요 기능 기술 스택, 통계 총 화면 수 7개 총 플로우 12개 컴포넌트 수 13개, 카드 기반 아이콘+텍스트"
PRESENT01,발표 모드 스토리보드 화면,PRESENT01_SCREENS01,화면 목록 표시,"데이터 7개 화면 온보딩 홈 스케줄러 로그 모니터 설정 스토리보드, 각 카드 화면명 Headline 17px + 설명 Caption 12px + 썸네일 이미지 선택적 + 보기 버튼, 2컬럼 그리드, 클릭 시 해당 화면 직접 전환"
PRESENT01,발표 모드 스토리보드 화면,PRESENT01_FLOWS01,플로우 목록 표시,"데이터 PRESENTATION_FLOWS 배열 12개, 각 플로우 카드 아이콘 이모지 48px + 플로우명 Headline 17px + 단계 수 N단계 Caption 회색 + 시작 버튼 파랑 배경, 세로 리스트, 클릭 시 onStartFlow(flowId) 호출"
PRESENT01,발표 모드 스토리보드 화면,PRESENT01_DESIGN01,디자인 시스템 문서,"섹션 컬러 팔레트 Primary Success Destructive 코인별 색상 + 타이포그래피 11단계 + 컴포넌트 버튼 카드 토글 등, 실제 컴포넌트 미리보기 + 코드 예시, 색상 코드 클릭 시 클립보드 복사"
PRESENT02,발표 모드 실행 및 제어,PRESENT02_START01,플로우 시작 액션,"시작 버튼 클릭 트리거, 실행 순서 handleStartFlow(flowId) + 모든 데모 상태 초기화 setDemoAutomationEnabled(false) setHighlightElement(null) 모든 시트 닫기 + setPresentationMode(true) setCurrentFlowId setCurrentStepIndex(0) + 첫 단계 화면 전환 + 하이라이트 적용 + executeStepAction() + toast 발표 모드 시작"
PRESENT02,발표 모드 실행 및 제어,PRESENT02_NAV01,단계 네비게이션,"이전 버튼 조건 currentStepIndex>0 클릭 시 handlePresentationPrev() 단계-1 화면 전환 하이라이트 업데이트, 다음 버튼 조건 currentStepIndex<totalSteps-1 클릭 시 handlePresentationNext() 단계+1 화면 전환 액션 실행"
PRESENT02,발표 모드 실행 및 제어,PRESENT02_ACTION01,단계별 액션 실행,"executeStepAction(action) 함수 switch-case, 지원 액션 click_connect 온보딩 연결 안내, complete_onboarding 완료 토스트, reset_automation 자동화 OFF, enable_automation 자동화 ON+토스트, open_new_schedule 시트 오픈, save_schedule 시트 닫기+성공 토스트, approve_post 포스팅 완료 토스트, open_edit_post 수정 시트 오픈+데이터 전달, save_edit_post 시트 닫기+업데이트 토스트, open_log_detail 로그 상세 시트 오픈, test_connection 로딩→성공 토스트, 기타 10개 액션 정의, 각 액션 UI 변경+toast 피드백"
PRESENT02,발표 모드 실행 및 제어,PRESENT02_HIGHLIGHT01,하이라이트 시스템,"highlightElement prop 전달, 각 컴포넌트 getHighlightStyle() 함수 조건 highlightElement===elementId 스타일 outline outline-4 outline-red-500 outline-offset-4 shadow-[0_0_20px_rgba(239,68,68,0.5)] relative z-10, 적용 요소 ID connect-button metrics-section schedule-list add-schedule-button schedule-sheet schedule-form, 단계 전환 시 자동 업데이트"
PRESENT02,발표 모드 실행 및 제어,PRESENT02_OVERLAY01,발표 컨트롤 오버레이,"fixed bottom-0 전체 화면 위 z-60, 반투명 검정 rgba(0,0,0,0.9), 내용 현재 플로우명 Headline 흰색 + 진행 상황 N/M 단계 Caption 회색 + 이전 버튼 회색 + 다음 버튼 파랑 + 종료 버튼 빨강 우측 상단, 오버레이 배경 클릭해도 닫히지 않음"
PRESENT02,발표 모드 실행 및 제어,PRESENT02_CLOSE01,발표 모드 종료,"종료 버튼 클릭 트리거, 실행 순서 setPresentationMode(false) setCurrentFlowId(null) setCurrentStepIndex(0) setCurrentScreen(storyboard) setStoryboardView(flows) + toast 발표 모드 종료, 결과 스토리보드 화면 Flows 탭으로 복귀"
DATA01,데이터 모델 및 상태 관리,DATA01_POST01,포스팅 데이터 구조,"인터페이스 id:number content:string 한글/영어 믹스 최대 280자 coin:string AI16Z ELIZA VIRTUAL scheduledTime:string 오후 HH:MM 형식 earnings:string $XX.XX 형식 engagement:number 0-100 참여도 점수 status:scheduled|ready|posting eta:string X분 후 또는 준비완료 date:string YYYY.MM.DD 형식 image:string Unsplash URL"
DATA01,데이터 모델 및 상태 관리,DATA01_LOG01,로그 데이터 구조,"인터페이스 id:number type:success|error time:string HH:MM 형식 fullTime:string YYYY.MM.DD HH:MM:SS 형식 title:string 포스팅 성공/실패 content:string 포스팅 내용 coin:string revenue?:string 성공 시만 error?:string 실패 시만 details?:string 추가 정보"
DATA01,데이터 모델 및 상태 관리,DATA01_SCHEDULE01,스케줄 데이터 구조,"인터페이스 id:number title:string 규칙명 time:string HH:MM 또는 24시간 활성 active:boolean posts:number 생성된 포스팅 수 lastTrigger:string X분 전 또는 -"
DATA01,데이터 모델 및 상태 관리,DATA01_TREND01,트렌드 데이터 구조,"인터페이스 tag:string 해시태그 # 포함 score:number 0-100 인기도 점수 relatedCoins:string[] 관련 코인 배열 impact:high|medium|low 예상 임팩트"
DATA01,데이터 모델 및 상태 관리,DATA01_STATE01,React 상태 관리 구조,"주요 상태 변수 App.tsx currentScreen:Screen isNewScheduleOpen:boolean isLogDetailOpen:boolean isEditPostOpen:boolean isApiKeySheetOpen:boolean selectedLog:any|null editingPost:any|null presentationMode:boolean currentFlowId:string|null currentStepIndex:number highlightElement:string|null, 각 컴포넌트 로컬 상태 scheduledPosts(Home) rules(Scheduler) activityLogs(Logs) notificationsEnabled(Settings), 상태 업데이트 useState+setter 함수 패턴"
DATA01,데이터 모델 및 상태 관리,DATA01_MOCK01,모의 데이터 생성 규칙,"포스팅 내용 한글/영어 믹스 70%한글 30%영어 + 이모지 포함 🚀💫😱ㅋㅋ + 트렌드 반영 AI 크립토 K-POP 테크 + 해시태그 2-4개 + 유머 감각, 이미지 Unsplash API 키워드 AI tech crypto music gaming 고품질 w=800&q=80, 수익 $10~$25 범위 코인별 차등 AI16Z>ELIZA>VIRTUAL, 시간 현재 시간 기준 상대 시간 X분 후 날짜 YYYY.MM.DD 형식"
